type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
3.315000            -1.308598           -0.375131           -0.375131           -1.308598           
3.325000            -1.164282           -0.623614           -0.623614           -1.164282           
3.335000            -0.978810           -0.797312           -0.797312           -0.978810           
3.345000            -0.773818           -0.898487           -0.898487           -0.773818           
3.355000            -0.571342           -0.929761           -0.929761           -0.571342           
3.365000            -0.392551           -0.893981           -0.893981           -0.392551           
3.375000            -0.256523           -0.794206           -0.794206           -0.256523           
3.385000            -0.179104           -0.633828           -0.633828           -0.179104           
3.395000            -0.171941           -0.416792           -0.416792           -0.171941           
3.405000            -0.241712           -0.147906           -0.147906           -0.241712           
3.415000            -0.389618           0.166800            0.166800            -0.389618           
3.425000            -0.611150           0.519713            0.519713            -0.611150           
3.435000            -0.896165           0.901299            0.901299            -0.896165           
3.445000            -1.229258           1.299866            1.299866            -1.229258           
3.455000            -1.590422           1.701435            1.701435            -1.590422           
3.465000            -1.955975           2.089777            2.089777            -1.955975           
3.475000            -2.299697           2.446636            2.446636            -2.299697           
3.485000            -2.594141           2.752145            2.752145            -2.594141           
3.495000            -2.812041           2.985449            2.985449            -2.812041           
3.505000            -2.927750           3.125504            3.125504            -2.927750           
3.515000            -2.918647           3.152032            3.152032            -2.918647           
3.525000            -2.766427           3.046588            3.046588            -2.766427           
3.535000            -2.458217           2.793687            2.793687            -2.458217           
3.545000            -1.987451           2.381918            2.381918            -1.987451           
3.555000            -1.354468           1.804987            1.804987            -1.354468           
3.565000            -0.566779           1.062619            1.062619            -0.566779           
3.575000            0.360996            0.161242            0.161242            0.360996            
3.585000            1.407534            -0.885587           -0.885587           1.407534            
3.595000            2.545551            -2.057082           -2.057082           2.545551            
3.605000            3.742831            -3.325473           -3.325473           3.742831            
3.615000            4.963509            -4.656608           -4.656608           4.963509            
3.625000            6.169553            -6.010927           -6.010927           6.169553            
3.635000            7.322361            -7.344752           -7.344752           7.322361            
3.645000            8.384410            -8.611882           -8.611882           8.384410            
3.655000            9.320875            -9.765402           -9.765402           9.320875            
3.665000            10.101138           -10.759641          -10.759641          10.101138           
3.675000            10.700114           -11.552191          -11.552191          10.700114           
3.685000            11.099333           -12.105881          -12.105881          11.099333           
3.695000            11.287726           -12.390607          -12.390607          11.287726           
3.705000            11.262069           -12.384931          -12.384931          11.262069           
3.715000            11.027073           -12.077348          -12.077348          11.027073           
3.725000            10.595111           -11.467154          -11.467154          10.595111           
3.735000            9.985598            -10.564852          -10.564852          9.985598            
3.745000            9.224055            -9.392073           -9.392073           9.224055            
3.755000            8.340900            -7.980979           -7.980979           8.340900            
3.765000            7.370039            -6.373190           -6.373190           7.370039            
3.775000            6.347308            -4.618245           -4.618245           6.347308            
3.785000            5.308861            -2.771681           -2.771681           5.308861            
3.795000            4.289567            -0.892811           -0.892811           4.289567            
3.805000            3.321517            0.957714            0.957714            3.321517            
3.815000            2.432683            2.720422            2.720422            2.432683            
3.825000            1.645816            4.339515            4.339515            1.645816            
3.835000            0.977633            5.765218            5.765218            0.977633            
3.845000            0.438307            6.955856            6.955856            0.438307            
3.855000            0.031306            7.879583            7.879583            0.031306            
3.865000            -0.246432           8.515641            8.515641            -0.246432           
3.875000            -0.404006           8.855130            8.855130            -0.404006           
3.885000            -0.455763           8.901213            8.901213            -0.455763           
3.895000            -0.420272           8.668768            8.668768            -0.420272           
3.905000            -0.319112           8.183496            8.183496            -0.319112           
3.915000            -0.175545           7.480541            7.480541            -0.175545           
3.925000            -0.013149           6.602675            6.602675            -0.013149           
3.935000            0.145518            5.598156            5.598156            0.145518            
3.945000            0.280149            4.518361            4.518361            0.280149            
3.955000            0.373748            3.415314            3.415314            0.373748            
3.965000            0.413479            2.339236            2.339236            0.413479            
3.975000            0.391233            1.336232            1.336232            0.391233            
3.985000            0.303923            0.446244            0.446244            0.303923            
3.995000            0.153468            -0.298645           -0.298645           0.153468            
4.005000            -0.053508           -0.875464           -0.875464           -0.053508           
4.015000            -0.306253           -1.271115           -1.271115           -0.306253           
4.025000            -0.590686           -1.482604           -1.482604           -0.590686           
4.035000            -0.890381           -1.516745           -1.516745           -0.890381           
4.045000            -1.187672           -1.389363           -1.389363           -1.187672           
4.055000            -1.464809           -1.124038           -1.124038           -1.464809           
4.065000            -1.705100           -0.750483           -0.750483           -1.705100           
4.075000            -1.893974           -0.302630           -0.302630           -1.893974           
4.085000            -2.019900           0.183449            0.183449            -2.019900           
4.095000            -2.075112           0.671679            0.671679            -2.075112           
4.105000            -2.056096           1.128066            1.128066            -2.056096           
4.115000            -1.963822           1.522592            1.522592            -1.963822           
4.125000            -1.803690           1.830848            1.830848            -1.803690           
4.135000            -1.585221           2.035297            2.035297            -1.585221           
4.145000            -1.321489           2.126111            2.126111            -1.321489           
4.155000            -1.028343           2.101549            2.101549            -1.028343           
4.165000            -0.723459           1.967845            1.967845            -0.723459           
4.175000            -0.425286           1.738643            1.738643            -0.425286           
4.185000            -0.151933           1.433993            1.433993            -0.151933           
4.195000            0.079918            1.078991            1.078991            0.079918            
4.205000            0.256020            0.702141            0.702141            0.256020            
4.215000            0.365439            0.333524            0.333524            0.365439            
4.225000            0.401229            0.002904            0.002904            0.401229            
4.235000            0.360881            -0.262142           -0.262142           0.360881            
4.245000            0.246522            -0.437943           -0.437943           0.246522            
4.255000            0.064833            -0.506219           -0.506219           0.064833            
