bin                 q                   Fx                  Icoh               
348                 3.485000            50.586421           -0.991501           2.591382           
349                 3.495000            50.741853           -0.989739           2.713063           
350                 3.505000            50.897385           -0.980933           3.354076           
351                 3.515000            51.053017           -0.963345           4.637053           
352                 3.525000            51.208750           -0.936561           6.586069           
353                 3.535000            51.364585           -0.901513           9.126438           
354                 3.545000            51.520522           -0.860384           12.093152          
355                 3.555000            51.676561           -0.816409           15.247142          
356                 3.565000            51.832703           -0.773574           18.298034          
357                 3.575000            51.988949           -0.736245           20.931640          
358                 3.585000            52.145298           -0.708761           22.840123          
359                 3.595000            52.301752           -0.694999           23.752587          
360                 3.605000            52.458311           -0.697967           23.463845          
361                 3.615000            52.614976           -0.719441           21.859204          
362                 3.625000            52.771746           -0.759674           18.933403          
363                 3.635000            52.928623           -0.817215           14.802176          
364                 3.645000            53.085607           -0.888828           9.705424           
365                 3.655000            53.242698           -0.969549           4.001498           
366                 3.665000            53.399897           -1.052867           -1.847319          
367                 3.675000            53.557205           -1.131018           -7.297462          
368                 3.685000            53.714622           -1.195398           -11.753688         
369                 3.695000            53.872149           -1.237047           -14.603943         
370                 3.705000            54.029785           -1.247200           -15.257477         
371                 3.715000            54.187533           -1.217855           -13.183913         
372                 3.725000            54.345391           -1.142337           -7.950872          
373                 3.735000            54.503361           -1.015812           0.742201           
374                 3.745000            54.661444           -0.835724           13.036205          
375                 3.755000            54.819639           -0.602131           28.892433          
376                 3.765000            54.977947           -0.317898           48.081949          
377                 3.775000            55.136370           0.011248            70.185237          
378                 3.785000            55.294907           0.376829            94.602489          
379                 3.795000            55.453558           0.767879            120.574283         
380                 3.805000            55.612326           1.171356            147.211798         
381                 3.815000            55.771209           1.572684            173.535174         
382                 3.825000            55.930209           1.956402            198.518103         
383                 3.835000            56.089327           2.306886            221.136386         
384                 3.845000            56.248562           2.609099            240.417905         
385                 3.855000            56.407915           2.849345            255.491356         
386                 3.865000            56.567388           3.015977            265.631107         
387                 3.875000            56.726979           3.100015            270.295717         
388                 3.885000            56.886691           3.095653            269.157979         
389                 3.895000            57.046524           3.000617            262.124778         
390                 3.905000            57.206478           2.816349            249.345573         
391                 3.915000            57.366554           2.548013            231.208937         
392                 3.925000            57.526752           2.204320            208.327220         
393                 3.935000            57.687073           1.797164            181.510014         
394                 3.945000            57.847518           1.341109            151.727729         
395                 3.955000            58.008087           0.852726            120.067112         
396                 3.965000            58.168781           0.349839            87.680966          
397                 3.975000            58.329600           -0.149306           55.734651          
398                 3.985000            58.490546           -0.626884           25.352123          
399                 3.995000            58.651618           -1.066326           -2.435717          
400                 4.005000            58.812817           -1.453078           -26.737709         
401                 4.015000            58.974144           -1.775265           -46.841769         
402                 4.025000            59.135600           -2.024214           -62.244885         
403                 4.035000            59.297185           -2.194815           -72.672290         
404                 4.045000            59.458900           -2.285694           -78.084899         
405                 4.055000            59.620745           -2.299204           -78.674745         
406                 4.065000            59.782721           -2.241213           -74.848758         
407                 4.075000            59.944829           -2.120726           -67.201880         
408                 4.085000            60.107070           -1.949346           -56.481048         
409                 4.095000            60.269443           -1.740604           -43.542059         
410                 4.105000            60.431950           -1.509202           -29.301693         
